"";"Genera_Prefix";"Lineage_Name";"Lineage";"parasiteGenus";"order";"family";"genus";"species";"Host_Environment";"continent";"country";"Latitude";"Longitude";"strategy_3";"distance_4";"distance_quanti_RES0";"distance_quanti_ALL"
"4752";"P_";"HYLNAE02";"P_HYLNAE02";"Plasmodium";"Passeriformes";"Thamnophilidae";"Hylophylax";"Hylophylax_naevius";"Wild";"South_America";"Brazil";-8,86666666666667;-63,3833333333333;"resident";"resident";"0";"601.112397692805"
"4753";"P_";"HYLOCH01";"P_HYLOCH01";"Plasmodium";"Passeriformes";"Vireonidae";"Hylophilus";"Hylophilus_ochraceiceps";"Wild";"South_America";"Brazil";-4,9;-55,5666666666667;"resident";"resident";"0";"658.935133933218"
"4754";"L_";"HYLPRA01";"L_HYLPRA01";"Leucocytozoon";"Passeriformes";"Sylviidae";"Hylia";"Hylia_prasina";"Wild";"Africa";"Gabon";0;0;"resident";"resident";"0";"576.595195981114"
"4755";"P_";"HYLPUN01";"P_HYLPUN01";"Plasmodium";"Passeriformes";"Thamnophilidae";"Hylophylax";"Hylophylax_punctulatus";"Wild";"South_America";"Brazil";-3,5;-55,7166666666667;"resident";"resident";"0";"445.372827666184"
"4756";"H_";"HYLPUN02";"H_HYLPUN02";"Haemoproteus";"Passeriformes";"Thamnophilidae";"Hylophylax";"Hylophylax_punctulatus";"Wild";"South_America";"Brazil";-3,5;-55,7166666666667;"resident";"resident";"0";"445.372827666184"
"4757";"P_";"HYLPUN03";"P_HYLPUN03";"Plasmodium";"Passeriformes";"Thamnophilidae";"Hylophylax";"Hylophylax_punctulatus";"Wild";"South_America";"Brazil";-0,05;-50,4;"resident";"resident";"0";"445.372827666184"
"4758";"P_";"HYLSUB01";"P_HYLSUB01";"Plasmodium";"Passeriformes";"Furnariidae";"Hyloctistes";"Hyloctistes_subulatus";"Wild";"South_America";"Ecuador";-1,88333333333333;-76,2666666666667;"resident";"resident";"0";"499.226522354636"
"4759";"P_";"HYLSUB01";"P_HYLSUB01";"Plasmodium";"Passeriformes";"Furnariidae";"Syndactyla";"Syndactyla_ruficollis";"Wild";"South_America";"Ecuador";-1,88333333333333;-76,2666666666667;"resident";"resident";"0";"55.2936914206977"
"4760";"L_";"HYMAD01";"L_HYMAD01";"Leucocytozoon";"Passeriformes";"Pycnonotidae";"Hypsipetes";"Hypsipetes_madagascariensis";"Wild";"Africa";"Comoros";-10,9333333333333;43,8722222222222;"resident";"resident";"0";"204.460586588597"
"4761";"L_";"HYMAD01";"L_HYMAD01";"Leucocytozoon";"Passeriformes";"Pycnonotidae";"Hypsipetes";"Hypsipetes_parvirostris";"Wild";"Africa";"Comoros";-10,9333333333333;43,8722222222222;"resident";"resident";"0";"18.4364900051584"
